"10000772" "Female" "Hispanic" 1.149 "center" . 33.439 49.5662 . . . . 90.942 99.9775 117.2067 61.5432 69.4946 . . . . 124.7073 127.1562 145.822 . 32.1052 . . . . 50.053 65.026 66.4508 16 15 . . . . 6.9659 7.5689 8.091 100 93 . . . . 95 96 92 448 448 . . . . 489 496 496
"10000854" "Female" "White" 0.1971 . . 32.4913 40.9221 . 55.4403 . 71.1195 78.4157 79.5421 97.6419 48.5037 57.3916 . 77.6545 . 107.048 99.0137 107.2203 109.3317 . 30.4054 . 34.0852 . 43.0508 42.3959 52.2581 68.5467 14 15 . 18 . 6.904 6.8141 8.3551 5.5748 71 78 . 76 . 57 62 73 84 410 435 . 448 . 435 448 470 489
"10000902" "Male" "White" 0.1284 "center" 12 . 54.5933 . 88.4559 . 101.3807 125.45 125.8279 134.1676 . 101.8528 . 107.3207 . 126.8035 131.8128 142.1406 150.7793 . 41.9329 . 52.738 . 56.4563 72.0129 77.8799 85.9071 . 17 . 18 . 8.8242 7.4883 8.5724 9.23799999999999 . 117 . 126 . 107 111 128 126 . 489 . 509 . 496 509 539 544
"10000934" "Male" "Black" -0.069 "center" 16 45.5076 54.0379 . 66.8962 . . . . . 50.869 82.2282 . 110.2946 . . . . . . 30.9624 . 45.36 . . . . . 15 15 . 14 . . . . . 80 121 . 116 . . . . . 403 489 . 496 . . . . .
"10000959" "Female" "White" 0.0347 "none" . . 65.3874 . 83.2259 . 100.565 127.3534 134.135 126.4924 . 101.0518 . 125.819 . 138.6734 146.5715 145.7251 155.0096 . 47.6438 . 59.3888 . 63.9273 79.2603 76.5613 82.9517 . 18 . 17 . 6.7485 6.5131 7.4306 7.0327 . 112 . 121 . 131 136 140 138 . 476 . 502 . 522 539 554 558
"10001046" "Male" "White" -0.426 "center" 19 . 66.311 . 92.5558 . 105.5981 127.2472 124.5118 134.0571 . 100.3677 . 133.1416 . 127.9106 139.1055 143.7597 147.9915 . 51.6108 . 58.6923 . 80.0907 77.7443 77.6273 89.3699 . 16 . 18 . 6.2797 7.252 7.8163 7.991 . 98 . 106 . 108 88 89 95 . 470 . 489 . 502 483 489 502
"10001111" "Female" "White" -0.75 "relative" 11 17.6983 29.4106 . 36.6696 . . . . . 41.3507 48.7283 . 62.6858 . . . . . . 33.6896 . 41.5663 . . . . . 16 15 . 15 . . . . . 78 71 . 81 . . . . . 403 403 . 448 . . . . .
"10001131" "Female" "White" 1.64 "center" . 51.8697 67.8533 . 96.5804 . 113.0434 112.3542 123.1704 138.2259 69.6849 77.2584 . 118.785 . 128.5718 133.109 145.4985 154.8879 . 49.834 . 72.1544 . 68.3358 76.2227 81.3806 87.9275 15 16 . 16 . 6.3411 7.666 7.4185 8.6469 99 105 . 100 . 98 114 94 105 462 476 . 483 . 489 516 496 516
"10001235" "Male" "Asian" . . . 46.9982 54.6361 . 79.126 . . 115.8722 128.5415 133.6354 57.786 67.2214 . 101.5698 . . 122.0997 128.8147 151.7524 . 36.2351 . 48.8572 . . 69.2058 74.9962 86.1456 15 15 . 18 . . 7.4722 7.3585 6.9139 110 112 . 102 . . 120 123 118 470 483 . 483 . . 522 534 534
"10001258" "Male" "other" . . 18 24.4413 47.1028 58.0588 64.3923 . . . . . 40.0136 64.0665 67.2039 80.8664 . . . . . . 20.2856 20.5321 25.8342 . . . . . 15 17 17 17 . . . . . . 109 121 120 . . . . . 403 462 489 496 . . . . .
"10001315" "Female" "White" -0.511 "none" 12 . 59.0072 . . . . . . . . 71.909 . . . . . . . . 37.9532 . . . . . . . . 18 . . . . . . . . 100 . . . . . . . . 470 . . . . . . .
"10001456" "Male" "Hispanic" -0.043 "center" 28 34.5434 49.0453 54.6932 64.6233 58.8626 64.6079 93.6362 120.8552 118.4909 51.5872 70.4013 68.8623 75.6898 85.5878 101.4186 108.3194 115.3172 119.4177 . 30.2586 26.7874 32.5392 40.532 50.1965 56.6107 64.8055 66.3853 13 15 15 15 6.2647 6.7178 4.9457 8.5288 8.0605 113 102 123 98 98 90 92 107 98 462 462 496 470 476 470 483 509 502
"10001546" "Female" "Hispanic" -1.01 "none" 45 18.4248 32.4761 48.3565 57.3391 52.4091 66.7428 70.8796 70.4273 . 50.8709 49.9363 67.1841 72.9493 97.0152 96.5266 102.3803 114.5273 . . 24.9395 26.4147 27.4052 30.5629 35.1708 47.5657 45.8981 . 15 15 10 13 3.25 6.5756 6.2208 6.9065 . 77 70 60 81 86 96 81 95 . 403 403 403 448 462 483 470 496 .
"10001684" "Female" "White" 0.7181 "center" 4 40.6893 52.0773 . 82.469 . 88.5423 113.5862 106.8527 117.9667 57.0831 68.995 . 99.0267 . 113.0119 108.7166 126.5805 121.7717 . 36.2784 . 48.1859 . 51.3775 66.1468 73.4987 86.4491 17 15 . 17 . 6.6418 6.897 8.7662 8.4346 75 107 . 97 . 96 95 90 95 403 476 . 476 . 483 489 489 502
"10001685" "Male" "White" -0.164 "relative" 27 30.5604 38.5099 . 72.0927 . 88.9602 109.8915 109.5511 117.7303 43.8575 69.9162 . 107.9971 . 107.4171 119.042 136.6711 126.429 . 38.3643 . 44.8354 . 63.5331 66.4306 69.6828 72.0428 15 15 . 18 . 7.2889 7.8707 7.1468 7.9589 71 98 . 95 . 84 88 74 79 403 470 . 476 . 470 483 470 483
"10001725" "Female" "White" -0.673 "center" 26 40.2696 42.4029 40.192 67.0711 70.9099 77.7847 79.6611 89.8872 108.916 45.6864 57.4515 57.0146 84.5597 73.9366 80.4307 100.4799 123.0955 126.4933 . 37.7242 34.9336 38.6352 44.0387 55.7881 57.0589 62.2183 76.135 17 16 15 15 6.7953 6.0572 7.7414 7.6616 7.0724 98 99 104 98 111 96 95 110 97 448 462 476 476 496 483 489 516 502
