"id","Sex","Race","SES","PreK","District_Poverty","Math_0","Math_0.5","Math_1","Math_1.5","Math_2","Math_2.5","Math_3.5","Math_4.5","Math_5.5","Reading_0","Reading_0.5","Reading_1","Reading_1.5","Reading_2","Reading_2.5","Reading_3.5","Reading_4.5","Reading_5.5","Science_0.5","Science_1","Science_1.5","Science_2","Science_2.5","Science_3.5","Science_4.5","Science_5.5","DCCS_0","DCCS_0.5","DCCS_1","DCCS_1.5","DCCS_2","DCCS_2.5","DCCS_3.5","DCCS_4.5","DCCS_5.5","Numbers_Reversed_0","Numbers_Reversed_0.5","Numbers_Reversed_1","Numbers_Reversed_1.5","Numbers_Reversed_2","Numbers_Reversed_2.5","Numbers_Reversed_3.5","Numbers_Reversed_4.5","Numbers_Reversed_5.5","Numbers_Reversed_(W-ability)_0","Numbers_Reversed_(W-ability)_0.5","Numbers_Reversed_(W-ability)_1","Numbers_Reversed_(W-ability)_1.5","Numbers_Reversed_(W-ability)_2","Numbers_Reversed_(W-ability)_2.5","Numbers_Reversed_(W-ability)_3.5","Numbers_Reversed_(W-ability)_4.5","Numbers_Reversed_(W-ability)_5.5"
"10006608","Female","White",0.1626,"center",10,30.3893,52.7698,NA,NA,NA,NA,NA,NA,NA,53.7825,75.5913,NA,NA,NA,NA,NA,NA,NA,34.3279,NA,NA,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,99,72,NA,NA,NA,NA,NA,NA,NA,448,410,NA,NA,NA,NA,NA,NA,NA
"10006675","Female","White",-0.197,"center",24,39.8153,53.5485,NA,69.1723,NA,88.2685,104.8098,96.6023,NA,57.1555,65.9525,NA,97.1867,NA,113.0731,110.4488,126.8417,NA,34.2198,NA,42.8749,NA,48.1892,56.5426,64.2804,NA,15,15,NA,16,NA,7.5303,8.2177,6.8808,NA,105,115,NA,107,NA,104,98,97,NA,448,476,NA,483,NA,489,489,496,NA
"10006679","Female","White",0.9313,"center",3,NA,32.5862,47.4009,72.8837,77.6825,72.8632,93.6025,105.6319,115.741,NA,54.8597,56.6348,85.109,89.7323,99.5909,101.1148,122.5221,131.2974,28.1757,27.7485,31.1687,30.7195,39.6709,36.3922,55.1319,64.0757,NA,15,17,18,5.9176,7.1308,7.8613,8.0797,8.0518,NA,79,95,120,83,111,109,93,108,NA,403,448,496,448,496,502,489,516
"10006834","Male","White",-0.33,"none",23,51.7044,83.5374,NA,109.3202,NA,120.0531,128.7137,132.971,143.1557,62.9322,97.901,NA,106.1597,NA,128.1555,149.0853,148.6036,152.8474,43.1602,NA,54.318,NA,63.9751,75.6679,78.6625,87.1342,17,18,NA,18,NA,7.3407,6.9332,7.9491,8.4806,110,108,NA,108,NA,101,100,100,86,470,476,NA,489,NA,489,496,502,489
"10006899","Male","White",0.5141,"center",16,41.4009,71.9514,79.6085,94.4623,111.7876,118.0483,128.9659,134.8931,137.4217,55.3547,90.5126,100.9716,115.6441,126.955,134.7887,138.6868,152.1616,152.3159,48.2416,49.2911,55.6952,67.7636,64.6202,75.5057,82.0461,87.6394,14,16,14,17,5.6315,6.7962,7.0827,7.7197,8.2147,95,100,100,112,93,70,89,94,114,448,470,476,496,476,448,483,496,528
"10006902","Female","White",-0.156,"non-relative",NA,30.2914,46.93,NA,65.6576,NA,NA,NA,NA,NA,52.7496,62.6981,NA,89.8773,NA,NA,NA,NA,NA,25.785,NA,35.2104,NA,NA,NA,NA,NA,14,16,NA,14,NA,NA,NA,NA,NA,101,99,NA,94,NA,NA,NA,NA,NA,435,448,NA,462,NA,NA,NA,NA,NA
"10006927","Female","White",-0.303,"none",3,56.9298,64.3539,89.1719,104.3264,97.6294,120.4926,128.0466,133.1087,142.2958,95.0018,102.9378,119.8483,121.9378,129.9542,143.2005,153.9832,148.4534,156.8821,41.2017,47.4548,63.4709,50.4569,63.0157,79.2557,82.6644,88.0987,15,18,18,18,7.4275,7.632,7.3747,8.3815,8.2206,125,124,114,98,109,95,109,103,94,483,489,483,470,489,476,502,502,496
"10006985","Male","White",0.4637,"center",8,63.9628,82.3621,NA,118.6499,NA,130.3334,138.8024,137.7338,145.8748,61.0967,90.4005,NA,134.2242,NA,137.618,146.0252,149.2349,158.3117,40.3182,NA,66.4367,NA,72.6413,81.5508,86.4316999999999,89.4829,15,18,NA,17,NA,7.0911,8.23479999999999,8.8056,3.375,119,102,NA,96,NA,124,117,117,120,476,462,NA,470,NA,516,516,522,534
"10006994","Male","White",-0.318,"center",6,32.2479,45.4692,NA,83.2049,NA,98.1373,113.3331,NA,NA,52.3993,59.8319,NA,80.9289,NA,120.8445,126.1589,NA,NA,40.8833,NA,46.4929,NA,61.9924,65.1564,NA,NA,16,16,NA,16,NA,3.875,7.6767,NA,NA,98,84,NA,98,NA,72,65,NA,NA,448,435,NA,476,NA,448,448,NA,NA
"10007069","Male","Black",-0.398,"center",NA,35.9842,80.7361,NA,NA,NA,NA,NA,NA,NA,53.1362,61.8162,NA,NA,NA,NA,NA,NA,NA,29.8427,NA,NA,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,110,102,NA,NA,NA,NA,NA,NA,NA,448,448,NA,NA,NA,NA,NA,NA,NA
